,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16
DDX11L1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0
NSMF,7252,5118,6972,5608,7437,4806,7020,6015,6379,5462,7380,6306,6642,5052,6321,6234
MIR6859-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR6859-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR6859-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC729737,7020,4348,7453,7639,7734,6313,7345,6098,7578,5954,10670,7057,8709,5216,9836,6262
FAM138D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100132287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100132062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928626,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
MIR6723,52,24,51,28,26,16,28,9,28,30,71,19,29,20,54,30
LOC100133331,316,287,320,314,331,339,475,336,435,364,434,475,391,296,503,363
LOC100288069,200,176,221,215,247,243,218,228,257,253,55,246,322,202,166,221
FAM87B,7,25,13,15,5,4,9,16,12,12,26,22,27,13,20,30
LINC00115,124,88,157,141,104,72,108,105,98,115,118,120,160,115,146,108
NR1I2,11,10,14,17,20,23,32,28,17,12,23,14,33,21,40,28
TNFSF11,7,19,11,4,8,2,5,3,8,3,7,3,14,7,11,4
CEP19,343,256,293,296,375,242,261,320,341,281,259,263,355,296,215,290
NLRP1,4448,3895,5843,5220,6850,6112,9317,8034,6828,7054,7700,10125,7384,6138,7022,6781
FAM41C,1,0,3,0,0,0,1,4,1,0,1,1,0,0,0,1
LOC100130417,6,3,6,2,21,4,5,5,170,5,68,16,1,2,1,6
AGL,2948,3150,2973,2551,3175,3135,3245,3026,3394,3849,1871,3763,3922,3249,2617,2962
NES,66,83,43,119,122,60,83,104,110,42,78,96,164,29,149,55
HSPA8,118973,106849,112275,84828,110577,89828,93243,86853,108467,127601,111556,100122,126295,85269,96140,107322
NPIPA1,2,1,6,1,3,7,5,2,5,3,9,7,4,1,9,4
SOX21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MMP23B,1,1,0,3,1,1,5,0,1,0,3,1,2,0,2,2
NUDT6,507,540,489,555,488,424,448,433,483,616,713,579,634,527,550,541
SNW1,7038,7217,7171,6765,7987,6626,7390,6784,7071,8005,8463,7870,8594,7297,7085,7744
FAF1,2820,3315,2613,2414,3354,2659,3193,2723,3007,3319,3653,2864,3315,3005,3052,3012
C1orf159,847,911,830,804,902,836,1012,978,895,979,1185,1024,971,769,847,868
ZCCHC4,647,600,671,532,617,518,702,569,625,600,678,661,722,475,654,588
TREM1,196,94,237,198,87,49,29,68,166,39,99,50,154,70,167,120
PCBP4,419,383,399,366,603,436,929,822,304,325,486,708,636,396,608,544
PPP2R2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
